trades,win_rate,avg_pnl_pct,total_pnl_pct,expectancy,profit_factor,avg_win,avg_loss,avg_peak_pnl,avg_return_t7,peak_pnl_pct,max_drawdown_pct,tp_pct,sl_pct,score_threshold,max_hold_days,max_mcap_M
20,30.0,-0.022,-0.45,-0.0223,0.98,3.56,1.557,4.95,0.0,4.27,5.61,5.0,2.0,5,1,100
23,30.4,-0.067,-1.55,-0.0674,0.943,3.661,1.699,4.81,0.0,4.27,7.61,5.0,2.0,5,1,150
26,26.9,-0.312,-8.12,-0.3123,0.759,3.661,1.776,4.26,0.0,4.27,10.36,5.0,2.0,5,1,200
33,27.3,-0.284,-9.38,-0.2843,0.765,3.385,1.66,3.89,0.0,4.27,11.62,5.0,2.0,5,1,300
49,28.6,-0.351,-17.21,-0.3513,0.731,3.337,1.827,3.8,0.0,4.27,18.8,5.0,2.0,5,1,500
81,24.7,-0.891,-72.16,-0.8908,0.432,2.741,2.081,2.67,0.0,4.27,72.16,5.0,2.0,5,1,1000
20,30.0,-0.152,-3.04,-0.1521,0.874,3.518,1.725,5.03,0.0,4.27,7.46,5.0,2.0,5,2,100
23,30.4,-0.18,-4.15,-0.1803,0.86,3.626,1.846,4.88,0.0,4.27,10.15,5.0,2.0,5,2,150
26,26.9,-0.445,-11.56,-0.4447,0.687,3.626,1.944,4.33,0.0,4.27,14.87,5.0,2.0,5,2,200
33,30.3,-0.134,-4.42,-0.1341,0.896,3.82,1.853,4.14,0.0,4.27,8.73,5.0,2.0,5,2,300
49,30.6,-0.254,-12.45,-0.2542,0.817,3.707,2.002,4.01,0.0,4.27,15.43,5.0,2.0,5,2,500
81,23.5,-0.893,-72.3,-0.8926,0.46,3.245,2.161,2.86,0.0,4.27,72.86,5.0,2.0,5,2,1000
20,30.0,-0.196,-3.92,-0.1959,0.846,3.576,1.812,5.59,0.0,4.27,8.58,5.0,2.0,5,3,100
23,30.4,-0.218,-5.02,-0.2184,0.837,3.675,1.922,5.37,0.0,4.27,11.27,5.0,2.0,5,3,150
